Date,CS_Ann,CD_Ann,Enrgy_Ann,Fncl_Ann,HlthC_Ann,Indstrl_Ann,Mtrls_Ann,Tech_Ann,Util_Ann,Unempl,Jobs_Non-Farm (000s),Hrly_Wages,CPI_urban,PPI_Commodity,Imp_Exp _Indx,haircut_price,cardboard_pice
3/1/10,0.3471,0.7616,0.4033,1.015,0.3271,0.7146,0.6668,0.5638,0.1682,0.099,129879,22.45,217.353,101.1,126.3,139.38,264.9
4/1/10,0.3368,0.6489,0.3998,0.8785,0.3503,0.7256,0.5672,0.5,0.1816,0.099,130110,22.49,217.403,101.4,127.7,140.12,269.3
5/1/10,0.2533,0.4947,0.3092,0.5177,0.2792,0.4963,0.3261,0.3553,0.1686,0.096,130650,22.53,217.29,101.6,126.7,140.35,273.1
6/1/10,0.1251,0.3658,-0.0097,0.1719,0.1053,0.276,0.1021,0.204,0.0604,0.094,130511,22.53,217.199,101.4,125.2,140.48,276.5
7/1/10,0.1057,0.2576,0.0261,0.152,0.0639,0.2592,0.0867,0.1135,0.0111,0.094,130427,22.59,217.605,101.6,125.2,140.65,279.1
8/1/10,0.1068,0.2463,0.0653,0.126,0.0307,0.2695,0.0975,0.1118,0.0588,0.095,130422,22.62,217.923,101.8,125.7,140.55,285
9/1/10,0.0834,0.1764,0.0202,-0.0589,-0.0087,0.1462,0.0622,0.0517,0.0663,0.095,130357,22.67,218.275,102.1,125.7,140.54,287.7
10/1/10,0.0993,0.2255,0.0501,-0.0249,0.0704,0.207,0.0697,0.116,0.0698,0.094,130625,22.74,219.035,102.5,127.1,139.94,287.7
11/1/10,0.1181,0.3173,0.0753,0.0304,0.1161,0.2715,0.1878,0.1861,0.1168,0.098,130750,22.73,219.59,102.8,129.2,140.11,287.7
12/1/10,0.057,0.2691,0.107,-0.0061,-0.0049,0.188,0.0833,0.1086,0.0374,0.093,130822,22.76,220.472,103.1,131,140.44,288.1
1/1/11,0.1127,0.2612,0.1896,0.1136,0.0064,0.2478,0.156,0.0968,0.0061,0.091,130841,22.85,221.187,103.7,133,140.3,288.7
2/1/11,0.1002,0.2917,0.3316,0.1563,0.0153,0.3171,0.2738,0.2431,0.0788,0.09,131053,22.87,221.898,104.3,135.3,140.45,288.2
3/1/11,0.0999,0.2869,0.4007,0.1473,0.0436,0.2845,0.2488,0.2206,0.0944,0.09,131288,22.87,223.046,105,139.3,140.36,287.7
4/1/11,0.0677,0.1902,0.3849,0.0261,0.0288,0.2012,0.1748,0.1304,0.0768,0.091,131602,22.92,224.093,105.5,142.9,140.57,287.6
5/1/11,0.1424,0.1635,0.3404,0.0086,0.149,0.1955,0.2036,0.1449,0.087,0.09,131703,22.99,224.806,105.8,143.1,140.65,287.6
6/1/11,0.2289,0.2532,0.4744,0.0868,0.2514,0.2784,0.2999,0.2252,0.1832,0.091,131939,23.01,224.806,105.9,142.2,140.71,286.3
7/1/11,0.2209,0.3779,0.5083,0.111,0.2622,0.3584,0.3896,0.2607,0.1868,0.09,131999,23.1,225.395,106.1,142.4,140.62,292.2
8/1/11,0.1416,0.2578,0.4184,0.0074,0.1929,0.1449,0.1903,0.1785,0.0877,0.09,132125,23.07,226.106,106.3,141.9,140.81,286.4
9/1/11,0.1543,0.2267,0.3208,-0.0262,0.1769,0.1342,0.1231,0.1679,0.0931,0.09,132358,23.11,226.597,106.7,141.7,140.93,286.4
10/1/11,0.0563,0.0307,0.0219,-0.1912,0.0254,-0.0805,-0.1198,0.0099,0.0697,0.088,132562,23.21,226.75,106.3,141.2,141.09,286.6
11/1/11,0.0571,0.077,0.1195,-0.1199,0.0507,0.0028,-0.0537,0.038,0.0788,0.086,132694,23.18,227.169,106.6,142.2,141.69,287.5
12/1/11,0.1198,0.0559,0.1089,-0.1316,0.1042,0.0178,-0.0402,0.0514,0.1305,0.085,132896,23.21,227.223,106.5,142.2,141.74,287.4
1/1/12,0.1108,0.052,0.0247,-0.1787,0.1083,-0.0183,-0.118,0.0193,0.1497,0.083,133250,23.24,227.842,106.9,142.2,141.58,287.4
2/1/12,0.109,0.1064,-0.0287,-0.1406,0.1289,0.0008,-0.034,0.0424,0.09,0.083,133512,23.27,228.329,107.2,142.2,142.11,287.3
3/1/12,0.1143,0.0973,-0.048,-0.1243,0.105,0.0024,-0.0597,0.0936,0.0906,0.082,133752,23.36,228.807,107.4,144.2,142.35,287.3
4/1/12,0.1375,0.1458,-0.1104,-0.0467,0.1318,-0.0135,-0.0827,0.1516,0.0916,0.082,133834,23.39,229.187,107.7,144.1,142.62,287.3
5/1/12,0.0816,0.1231,-0.1149,-0.0614,0.0552,-0.0521,-0.106,0.1095,0.0747,0.082,133934,23.39,228.713,107.6,142,142.75,287.3
6/1/12,0.0369,0.0516,-0.1894,-0.1293,-0.0053,-0.0931,-0.1602,0.0402,0.0517,0.082,134007,23.46,228.524,107.3,138.7,142.77,287.3
7/1/12,0.111,0.0874,-0.1173,-0.0398,0.0735,-0.0392,-0.1059,0.1197,0.1084,0.082,134159,23.51,228.59,107.2,137.7,142.93,287.3
8/1/12,0.1501,0.093,-0.1014,-0.0206,0.1208,0.0236,-0.0953,0.1266,0.135,0.081,134331,23.49,229.918,107.5,139.4,143.3,284.2
9/1/12,0.1492,0.2107,0.0394,0.1316,0.162,0.1168,0.0108,0.2438,0.0692,0.078,134518,23.57,231.015,108.2,140.8,143.34,284.2
10/1/12,0.2157,0.3554,0.2784,0.3396,0.2779,0.2662,0.2759,0.3221,0.0842,0.078,134677,23.56,231.638,108.3,141.2,143.45,290.2
11/1/12,0.1615,0.2155,0.0699,0.2399,0.2144,0.1293,0.0909,0.1425,0.0786,0.077,134833,23.63,231.249,108.4,140.2,143.53,298.9
12/1/12,0.1267,0.2362,0.013,0.241,0.1935,0.1074,0.0719,0.1487,0.0054,0.079,135072,23.73,231.221,108.4,139.4,144.28,304
